Accumulator
name,Input Width (bits),Output Width (bits),Clock Delay (ps),Slack (ps),Cell count,Area (um^2),Leakage Power (nW),Dynamic Power (nW),Total Power (nW)
accumulator_IN_32_OUT_56_clk_650,32,56,650,95,388,198.314,4718.064,994624.932,999342.996
accumulator_IN_32_OUT_56_clk_700,32,56,700,116,378,195.290,4544.916,933544.636,938089.552
accumulator_IN_32_OUT_56_clk_750,32,56,750,158,379,196.016,4593.969,897874.227,902468.197
accumulator_IN_32_OUT_56_clk_800,32,56,800,152,359,192.266,4465.023,839570.418,844035.441
accumulator_IN_40_OUT_56_clk_200,40,56,200,0,547,269.136,7062.433,3553416.893,3560479.326
accumulator_IN_40_OUT_56_clk_300,40,56,300,0,446,210.652,4840.827,1810339.377,1815180.205
accumulator_IN_40_OUT_56_clk_400,40,56,400,15,412,203.213,4645.752,1376895.926,1381541.678
accumulator_IN_40_OUT_56_clk_500,40,56,500,37,396,200.975,4721.342,1175026.772,1179748.114
accumulator_IN_40_OUT_56_clk_550,40,56,550,99,398,201.217,4776.478,1121134.545,1125911.022
accumulator_IN_40_OUT_56_clk_600,40,56,600,76,380,198.435,4687.372,1048630.339,1053317.711
accumulator_IN_40_OUT_56_clk_650,40,56,650,113,385,197.709,4589.389,991529.300,996118.689
accumulator_IN_40_OUT_56_clk_700,40,56,700,127,382,196.923,4568.513,949650.154,954218.667
accumulator_IN_40_OUT_56_clk_750,40,56,750,161,369,194.383,4487.959,896448.950,900936.909
accumulator_IN_40_OUT_56_clk_800,40,56,800,152,356,193.717,4483.270,864290.947,868774.217
accumulator_IN_48_OUT_56_clk_200,48,56,200,0,556,270.225,6857.263,3563845.197,3570702.460
accumulator_IN_48_OUT_56_clk_300,48,56,300,1,426,208.354,4726.891,1795901.616,1800628.507
accumulator_IN_48_OUT_56_clk_400,48,56,400,15,404,203.213,4575.682,1363236.719,1367812.401
accumulator_IN_48_OUT_56_clk_500,48,56,500,42,388,200.794,4663.057,1170984.153,1175647.211
accumulator_IN_48_OUT_56_clk_550,48,56,550,85,392,201.096,4671.515,1122638.944,1127310.460
